age,stay_length,percent
All ages,0-1 days,30.2
All ages,2-6 days,44.5
All ages,7+ days,25.2
0-4,0-1 days,50.2
0-4,2-6 days,37.9
0-4,7+ days,11.9
5-14,0-1 days,46.4
5-14,2-6 days,40.1
5-14,7+ days,13.4
15-19,0-1 days,38.4
15-19,2-6 days,40.4
15-19,7+ days,21.1
20-24,0-1 days,34.5
20-24,2-6 days,42
20-24,7+ days,23.4
25-34,0-1 days,33
25-34,2-6 days,43.4
25-34,7+ days,23.5
35-44,0-1 days,28.3
35-44,2-6 days,45.4
35-44,7+ days,26.3
45-64,0-1 days,23.7
45-64,2-6 days,46.3
45-64,7+ days,30
65+,0-1 days,13.3
65+,2-6 days,51
65+,7+ days,35.7
